iter	RMSE
0	155.0426493
1	154.0950045
2	152.8804068
3	151.6000288
4	150.9055725
5	149.9814657
6	148.5752656
7	147.615723
8	146.5135902
9	145.4370328
10	144.2560504
11	143.0370057
12	142.0878597
13	141.2166048
14	139.8840966
15	138.7910545
16	137.6106118
17	136.2666644
18	135.2176923
19	134.1837924
20	133.1713516
21	131.8017964
22	130.9444841
23	129.8193395
24	128.9439929
25	127.8013731
26	126.9080904
27	126.0344
28	125.158007
29	124.2051551
30	123.1220279
31	122.1882302
32	121.2638761
33	120.2728248
34	119.4771932
35	118.6556619
36	118.0681777
37	117.4631172
38	116.618499
39	115.7310536
40	114.9366965
41	113.9154588
42	112.8354033
43	112.0425211
44	111.25136
45	110.3005964
46	109.3543255
47	108.6902203
48	107.9441792
49	107.1339422
50	106.2660043
51	105.5146789
52	104.6354893
53	103.7732753
54	102.9625354
55	102.2078214
56	101.3650946
57	101.1561028
58	100.4167593
59	99.77616484
60	99.04957702
61	98.30780143
62	97.60390998
63	96.81192915
64	96.18586521
65	95.63203023
66	95.00126626
67	94.34169604
68	93.65870713
69	93.10390722
70	92.36045669
71	91.78072569
72	90.92527302
73	90.27048368
74	89.6093182
75	88.63208593
76	87.96757094
77	87.143612
78	86.57005301
79	86.01984448
80	85.43310376
81	84.64523929
82	83.93984084
83	83.23352183
84	82.55925589
85	81.90282828
86	81.26943229
87	80.72466151
88	80.07812804
89	79.55123781
90	79.07580976
91	78.40274092
92	77.65990349
93	77.12194644
94	76.50914093
95	75.82865444
96	75.4336565
97	74.91188156
98	74.35718524
99	73.8715395
100	73.46869613
101	72.7824893
102	72.22054137
103	71.71090749
104	71.09768262
105	70.54606422
106	69.97631728
107	69.39430181
108	68.94057951
109	68.42597702
110	67.93870024
111	67.43333372
112	66.94161999
113	66.30727172
114	65.87672801
115	65.46984615
116	64.94028126
117	64.48971664
118	63.96384672
119	63.39306641
120	63.04206067
121	62.65860088
122	62.27026574
123	61.81569004
124	61.46061571
125	60.9783113
126	60.50242617
127	60.05308834
128	59.65893254
129	59.30500943
130	58.79816933
131	58.38028196
132	58.10158265
133	57.7388672
134	57.21664059
