iter	Passed	Remaining
0	173	172986
1	193	96346
2	225	74863
3	248	61978
4	263	52400
5	275	45576
6	287	40794
7	300	37226
8	307	33864
9	314	31165
10	320	28841
11	328	27058
12	336	25532
13	343	24218
14	351	23073
15	358	22028
16	365	21140
17	372	20329
18	380	19640
19	388	19022
20	394	18407
21	403	17916
22	409	17384
23	415	16904
24	423	16506
25	430	16111
26	437	15765
27	446	15482
28	452	15136
29	460	14883
30	467	14599
31	473	14336
32	480	14086
33	486	13833
34	493	13618
35	500	13407
36	507	13221
37	514	13020
38	522	12868
39	530	12729
40	537	12576
41	545	12451
42	556	12376
43	564	12263
44	572	12143
45	579	12012
46	585	11880
47	594	11798
48	602	11700
49	609	11583
50	616	11473
51	622	11348
52	629	11239
53	636	11159
54	643	11061
55	650	10970
56	657	10882
57	666	10825
58	672	10730
59	679	10639
60	686	10572
61	695	10516
62	702	10447
63	709	10373
64	715	10295
65	722	10230
66	730	10166
67	736	10100
68	743	10033
69	751	9980
70	757	9915
71	764	9853
72	772	9806
73	780	9769
74	788	9722
75	795	9669
76	801	9611
77	809	9570
78	816	9517
79	823	9474
80	831	9432
81	837	9377
82	844	9326
83	851	9288
84	857	9235
85	865	9193
86	872	9157
87	879	9118
88	886	9073
89	893	9031
90	901	9004
91	909	8977
92	919	8965
93	927	8935
94	934	8901
95	940	8857
96	947	8816
97	954	8787
98	961	8748
99	968	8715
100	975	8679
101	982	8648
102	989	8616
103	997	8598
104	1003	8556
105	1011	8535
106	1022	8531
107	1029	8500
108	1036	8471
109	1043	8442
110	1051	8418
111	1058	8391
112	1066	8368
113	1073	8342
114	1080	8316
115	1087	8289
116	1095	8266
117	1102	8240
118	1124	8323
119	1134	8316
120	1144	8315
121	1155	8315
122	1165	8311
123	1176	8311
124	1187	8309
125	1196	8297
126	1203	8271
127	1211	8250
128	1218	8224
129	1224	8196
130	1232	8174
131	1239	8148
132	1246	8124
133	1253	8102
134	1260	8079
135	1267	8055
136	1275	8033
137	1282	8011
138	1289	7989
139	1297	7971
140	1305	7950
141	1311	7927
142	1319	7908
143	1326	7888
144	1334	7868
145	1342	7852
146	1350	7835
147	1357	7815
148	1365	7796
149	1372	7776
150	1379	7757
151	1387	7738
152	1394	7719
153	1402	7705
154	1410	7687
155	1417	7666
156	1424	7647
157	1431	7627
158	1438	7608
159	1446	7591
160	1453	7573
161	1461	7557
162	1468	7542
163	1476	7524
164	1483	7507
165	1491	7491
166	1498	7476
167	1505	7458
168	1513	7440
169	1520	7422
170	1527	7405
171	1534	7386
172	1541	7370
173	1549	7353
174	1556	7336
175	1563	7321
176	1572	7310
177	1579	7294
178	1588	7285
179	1595	7268
180	1602	7252
181	1609	7235
182	1616	7217
183	1624	7203
184	1631	7189
185	1639	7174
186	1646	7160
187	1654	7144
188	1661	7131
189	1669	7116
190	1676	7102
191	1683	7084
192	1690	7068
193	1697	7052
194	1704	7036
195	1711	7022
196	1719	7009
197	1727	6995
198	1734	6982
199	1742	6968
200	1749	6953
201	1756	6939
202	1764	6926
203	1771	6911
204	1778	6897
205	1786	6886
206	1793	6870
207	1800	6857
208	1808	6843
209	1815	6830
210	1823	6816
211	1830	6804
212	1837	6789
213	1845	6776
214	1852	6764
215	1860	6751
216	1867	6740
217	1875	6727
218	1883	6716
219	1891	6705
220	1898	6693
221	1905	6678
222	1913	6665
223	1920	6652
224	1927	6637
225	1934	6625
226	1942	6613
227	1968	6666
228	1987	6690
229	1997	6687
230	2009	6690
231	2023	6698
232	2035	6699
233	2042	6686
234	2054	6687
235	2060	6671
236	2068	6659
237	2076	6649
238	2084	6638
239	2093	6630
240	2100	6614
241	2108	6603
242	2116	6592
243	2124	6581
244	2131	6568
245	2138	6555
246	2145	6542
247	2154	6531
248	2161	6520
249	2169	6508
250	2177	6496
251	2185	6486
252	2193	6476
253	2202	6468
254	2210	6457
255	2217	6443
256	2224	6431
257	2231	6417
258	2238	6404
259	2245	6392
260	2253	6381
261	2261	6370
262	2269	6359
263	2276	6345
264	2284	6336
265	2291	6323
266	2299	6312
267	2307	6301
268	2314	6289
269	2322	6279
270	2330	6267
271	2337	6255
272	2344	6243
273	2351	6231
274	2359	6221
275	2367	6211
276	2375	6201
277	2383	6189
278	2391	6179
279	2399	6169
280	2406	6158
281	2414	6146
282	2422	6136
283	2429	6126
284	2437	6115
285	2444	6103
286	2452	6092
287	2460	6083
288	2468	6072
289	2476	6063
290	2484	6054
291	2493	6046
292	2501	6036
293	2509	6027
294	2518	6018
295	2524	6005
296	2531	5993
297	2539	5983
298	2547	5972
299	2555	5962
300	2561	5949
301	2568	5935
302	2575	5925
303	2582	5912
304	2591	5904
305	2598	5892
306	2605	5882
307	2612	5869
308	2620	5860
309	2628	5849
310	2637	5843
311	2645	5834
